"year","total_catch"
1950,589757.68
1951,669432.1
1952,755442.94
1953,718517.35
1954,729846.01
1955,749039.78
1956,786902.15
1957,805224.58
1958,842239.73
1959,845963.46
1960,919613.07
1961,886071.67
1962,913882.12
1963,998815.07
1964,950794.63
1965,990123.89
1966,1026978.08
1967,1034328.52
1968,1099801.71
1969,1094888.98
1970,1055876.22
1971,1097821.61
1972,1124058.97
1973,1186919.28
1974,1266175
1975,1353940.36
1976,1258749.11
1977,1230671.72
1978,1218976.74
1979,1295736.99
1980,1227281.01
1981,1209964.23
1982,1328446.38
1983,1390741.93
1984,1390951.56
1985,1399748.81
1986,1386036.14
1987,1427440.04
1988,1417535.09
1989,1415688.2
1990,1364499.25
1991,1372440.61
1992,1429682.56
1993,1386465.08
1994,1369426.02
1995,1389639.68
1996,1379718.21
1997,1426207.62
1998,1421375.34
1999,1565434.29
2000,1522543.67
2001,1450437.3
2002,1459700.77
2003,1496885.99
2004,1490040.32
2005,1404993.5
2006,1416642.08
2007,1382578.11
2008,1359070.69
2009,1390510.96
2010,1369233.25
2011,1499080.87
2012,1514121.44
2013,1462568.01
2014,1483717.03
2015,1440766.23
2016,1393134.34
2017,1401198.42
2018,1410338.23
2019,1427405.94
