"year","total_effort","index"
1950,5169616.7769794,1
1951,5166775.35573131,2
1952,5222930.33872873,3
1953,5403406.01586244,4
1954,5589550.81997792,5
1955,5844738.07321617,6
1956,6066350.21133437,7
1957,6240284.86761308,8
1958,6475459.08515893,9
1959,6598724.89974866,10
1960,6868045.92616185,11
1961,7268194.19754005,12
1962,7633521.3345658,13
1963,8183716.88176204,14
1964,8634440.13049709,15
1965,9153380.12165905,16
1966,9421381.27128515,17
1967,9816448.86896072,18
1968,10144748.9420273,19
1969,10556887.8964901,20
1970,11001469.9397188,21
1971,11490323.0391894,22
1972,11892177.7208629,23
1973,12227435.8142933,24
1974,12570193.1724845,25
1975,12829264.6137742,26
1976,13016877.0806708,27
1977,13404539.2526949,28
1978,13983470.2950513,29
1979,14553513.7167399,30
1980,15067917.4861465,31
1981,15519678.4758515,32
1982,16057148.254501,33
1983,16542436.6304866,34
1984,17035623.87587,35
1985,17412288.5548067,36
1986,18067806.4947203,37
1987,18975485.6797934,38
1988,19581525.4712218,39
1989,20204327.8503522,40
1990,20741858.0688762,41
1991,20582398.7907844,42
1992,20794574.3861642,43
1993,21327114.8639824,44
1994,21655475.7695613,45
1995,21932062.9444693,46
1996,22372472.1956115,47
1997,22615545.7907478,48
1998,23392016.373323,49
1999,23546067.3163497,50
2000,23801210.5995847,51
2001,23677650.2016648,52
2002,23633340.0099339,53
2003,24423617.8766604,54
2004,25154939.2867619,55
2005,25085934.5637865,56
2006,25591110.7714259,57
2007,26252867.1822672,58
2008,26762769.0782242,59
2009,27562116.5782004,60
2010,27642437.3431144,61
2011,NA,62
2012,NA,63
2013,NA,64
2014,NA,65
2015,NA,66
2016,NA,67
2017,NA,68
2018,NA,69
2019,NA,70
