"","NEW_FID","RLI_1970","RLI_1980","RLI_2005","RLI_2020"
"1","Agulhas Current",0.994705822811131,0.958117147562076,0.909968038734272,0.903582533980192
"2","Antarctic",0.988938158585698,0.978821764999917,0.978821764999917,0.978821764999917
"3","Antarctic Polar Front",0.983686977520552,0.974834816438912,0.904117698325658,0.835997590527296
"4","Arctic",0.96040292317653,0.932007766012158,0.877631188201054,0.87745864084534
"5","Benguela Current",0.992629516642442,0.979637469952101,0.956105944920495,0.950728797578442
"6","Black Sea PPOW",1,0.968938123125323,0.955312768240174,0.947853058118558
"7","California Current",0.998572165230394,0.989105915641346,0.97538911810813,0.971889928949076
"8","Canary Current",0.974609878558962,0.897810465865238,0.813068134646031,0.792615001050404
"9","Eastern Tropical Pacific",0.995619151223898,0.982616650737851,0.954304942250722,0.934684425502102
"10","Equatorial Atlantic",0.980786233033032,0.950712009887602,0.89990740125748,0.875485259724297
"11","Equatorial Pacific",0.959027269657336,0.881571514163119,0.721941282675384,0.622329782343399
"12","Guinea Current",0.952713602467112,0.896820897123079,0.719953598589877,0.652731997893129
"13","Gulf Stream",0.992428475467829,0.980118945202436,0.972601798020351,0.973490390776875
"14","Humboldt Current",0.99662898473734,0.970870442580753,0.897605499689738,0.887232403901766
"15","Indian Ocean Gyre",0.988135043928271,0.970297765544717,0.95630988457062,0.945353958995404
"16","Indian Ocean Monsoon Gyre",0.975453218724526,0.926484590941646,0.847891575668504,0.820278258467174
"17","Indonesian Through-Flow",0.965265801446853,0.931217842636613,0.854881205987703,0.833257521589999
"18","Inter American Seas",0.995187688753092,0.983875465078489,0.969939684794548,0.961283456178696
"19","Kuroshio",0.986792349050981,0.972737829029973,0.925832485459697,0.920620770406847
"20","Leeuwin Current",0.996767670399284,0.99183788663924,0.972850543389359,0.971851625863432
"21","Malvinas Current",0.994560355430737,0.984801326865019,0.861042532704628,0.852170648128077
"22","Mediterranean",0.891912038630011,0.746766689433242,0.659959657685594,0.615071991030515
"23","Non-gyral Southwest Pacific",0.994390041367064,0.976955032041374,0.947566136554141,0.941487309980605
"24","North Atlantic Transitional",0.977481357643375,0.934351277652826,0.891591957828447,0.885357382002951
"25","North Central Atlantic Gyre",0.989801200127172,0.950514021590074,0.889185197165116,0.872506431515366
"26","North Central Pacific Gyre",0.968277195074559,0.919998076849339,0.859389227399395,0.829565607669164
"27","North Pacific Transitional",0.910709870166588,0.883833538921086,0.861564879198761,0.854446984845316
"28","Red Sea",0.983935210915168,0.909951665057269,0.755258295636812,0.656723327260071
"29","Sea of Japan/East Sea",0.972065906063199,0.951631768013606,0.891898278996455,0.871105225935784
"30","Somali Current",0.994742979227184,0.943352886393139,0.88377003012507,0.845940754783434
"31","South Central Atlantic Gyre",0.988126558665061,0.954759676120209,0.764608646251166,0.757572957530456
"32","South Central Pacific Gyre",0.986773514507644,0.943183166466758,0.904565563466187,0.885950133769728
"33","South China Sea",0.953535444821089,0.927121746027049,0.874214784382854,0.853569283034488
"34","Subantarctic",0.989078557014752,0.970065574700135,0.931694312490084,0.93138673439569
"35","Subarctic Atlantic",0.970867517609608,0.932598133988018,0.901282098886644,0.899052952514915
"36","Subarctic Pacific",0.998732823630314,0.996937433957272,0.988870697537971,0.983770761104756
"37","Subtropical Convergence",0.994759485132003,0.957394088872801,0.916910164044745,0.917623951542002
"38","North Greenland",0.723846228811104,0.723489309979955,0.712026784824527,0.712026784824527
"39","North and East Iceland",0.906994644227983,0.808869882896576,0.714584472447747,0.71020827231288
"40","East Greenland Shelf",0.938343323767703,0.895690384948665,0.824537589479804,0.824537589479804
"41","West Greenland Shelf",0.914846908770959,0.856686459270474,0.788593276934343,0.788593276934343
"42","Northern Grand Banks - Southern Labrador",0.861680268233955,0.668161531712717,0.620102581251681,0.718675381226032
"43","Northern Labrador",0.925625398445198,0.709878871474514,0.611406664374386,0.655100692710846
"44","Hudson Complex",0.997870609973359,0.915326999059366,0.829879422019707,0.829879422019707
"45","Beaufort Sea - continental coast and shelf",1,1,0.8,0.8
"46","Chukchi Sea",1,1,0.803241235552982,0.803241235552982
"47","Kara Sea",1,1,1,1
"48","North and East Barents Sea",0.950660706989838,0.923013583734131,0.850671109679647,0.850671109679647
"49","White Sea",0.415867128964479,0.410578085976319,0.40528904298816,0.40528904298816
"50","South and West Iceland",0.931791312178516,0.852434310733032,0.774088951684368,0.767384400814203
"51","Faroe Plateau",0.933437852585677,0.827344470874042,0.76636758511368,0.753441975051806
"52","Southern Norway",0.868396004688371,0.688160636362227,0.60914800010496,0.589803345046204
"53","Northern Norway and Finnmark",0.880654193154361,0.727293453422712,0.621395012585725,0.620069755802915
"54","Baltic Sea",0.811941991347325,0.643553167520149,0.621325494131365,0.606897574489063
"55","North Sea",0.900428017353277,0.740519207439505,0.682133713468454,0.651799155350894
"56","Celtic Seas",0.92602093617313,0.768871147215594,0.707458416496641,0.673461739987463
"57","South European Atlantic Shelf",0.973039489751789,0.862430706117918,0.779764412599646,0.743343523957557
"58","Saharan Upwelling",0.972509480884481,0.855645007238866,0.720690553399668,0.619629351399497
"59","Azores Canaries Madeira",0.989956786885373,0.935934413224254,0.871985889105654,0.860406925065918
"60","Adriatic Sea",0.941768504447572,0.792078729639383,0.628684275095655,0.529286969260026
"61","Gulf of St. Lawrence - Eastern Scotian Shelf",0.751291520122792,0.573529981823426,0.566527978172107,0.745450936063303
"62","Southern Grand Banks - South Newfoundland",0.765636997656146,0.63817419213233,0.646834011911603,0.821118948365909
"63","Scotian Shelf",0.825795670315956,0.731670987111254,0.736856320584943,0.863054744322729
"64","Virginian",0.924321613765657,0.843357395500396,0.806406924006,0.83503274213463
"65","Northern Gulf of Mexico",0.980669129513339,0.940924846159201,0.893538760168081,0.868137697497057
"66","Black Sea MEOW",0.99981410121993,0.829989267919601,0.704091656513895,0.651199748895369
"67","Sea of Okhotsk",0.995586899845734,0.982814636060387,0.907062124232526,0.868189345567981
"68","Oyashio Current",0.997515122809726,0.99266253568608,0.912593104043625,0.901271766252947
"69","Northeastern Honshu",0.974044666155778,0.957743339641323,0.843598306721621,0.824815065796485
"70","Sea of Japan",0.93881904284566,0.907965087280109,0.751366267992371,0.67852495785585
"71","Yellow Sea",0.925818672839548,0.887994490852409,0.676779971325729,0.576544328607683
"72","Central Kuroshio Current",0.968072478278729,0.932966059160992,0.819662238220649,0.741211285072216
"73","East China Sea",0.920012898872598,0.87631628251072,0.701196832164364,0.625503149597863
"74","Aleutian Islands",0.999816147673385,0.999464591753808,0.995407886390465,0.995407886390465
