"","NEW_FID","species richness"
"1","5136",86
"2","5454",85
"3","5455",78
"4","5456",65
"5","5458",90
"6","5459",80
"7","5460",93
"8","5461",96
"9","5769",90
"10","5770",60
"11","5772",87
"12","5773",92
"13","6064",75
"14","6065",105
"15","6066",109
"16","6343",67
"17","6344",58
"18","6345",83
"19","6348",105
"20","6617",81
"21","6890",65
"22","7161",67
"23","7162",47
"24","7426",55
"25","7427",45
"26","8231",55
"27","8502",59
"28","6618",107
"29","6892",99
"30","6893",95
"31","6901",58
"32","6902",56
"33","6903",56
"34","7163",69
"35","7164",94
"36","7170",57
"37","7171",56
"38","7172",47
"39","7173",52
"40","7174",54
"41","7429",84
"42","7435",54
"43","7436",53
"44","7695",64
"45","7697",84
"46","7698",74
"47","7703",53
"48","7704",52
"49","7705",51
"50","7965",70
"51","7966",70
"52","7972",51
"53","7973",50
"54","7974",50
"55","8232",58
"56","8233",68
"57","8234",68
"58","8237",49
"59","8238",47
"60","8239",49
"61","8503",56
"62","8504",54
"63","8505",50
"64","8506",66
"65","8508",48
"66","8509",50
"67","8510",48
"68","8514",51
"69","8515",44
"70","8516",48
"71","8788",65
"72","8793",50
"73","8794",46
"74","8795",21
"75","8796",55
"76","8797",49
"77","8799",49
"78","8800",49
"79","9068",62
"80","9073",47
"81","9074",56
"82","9075",52
"83","9076",54
"84","9077",53
"85","9351",62
"86","9357",56
"87","9358",53
"88","9638",59
"89","9639",66
"90","9925",61
"91","10210",66
"92","10211",62
"93","10490",54
"94","10491",67
"95","14564",37
"96","14830",68
"97","14831",64
"98","14832",37
"99","14833",63
"100","15104",64
"101","15105",67
"102","15106",41
"103","15107",37
"104","15375",65
"105","15377",68
"106","15378",69
"107","15653",63
"108","15654",65
"109","15655",69
"110","15656",78
"111","15657",38
"112","15924",78
"113","15925",38
"114","15926",43
"115","15928",43
"116","15929",52
"117","15930",97
"118","16193",79
"119","16194",87
"120","16195",90
"121","16196",90
"122","16197",84
"123","16198",92
"124","16199",65
"125","16200",89
"126","16201",77
"127","16451",65
"128","16452",87
"129","16453",77
"130","16454",86
"131","12569",61
"132","12570",40
"133","12571",40
"134","12852",71
"135","12853",40
"136","12854",96
"137","12855",97
"138","12856",95
"139","13132",96
"140","13133",112
"141","13134",60
"142","13135",99
"143","13136",96
"144","13137",43
"145","13423",101
"146","13424",111
"147","13426",112
"148","13427",115
"149","13429",95
"150","13718",104
"151","13720",106
"152","13722",109
"153","13723",107
"154","13724",61
"155","14012",101
"156","14013",100
"157","14297",100
"158","14298",94
"159","14578",96
"160","14579",97
"161","14845",96
"162","14846",91
"163","15115",93
"164","15116",93
"165","15117",92
"166","15119",90
"167","15120",44
"168","15386",98
"169","15387",93
"170","15388",93
"171","15666",95
"172","15667",92
"173","6007",45
"174","6285",44
"175","6286",28
"176","6287",27
"177","6565",42
"178","6566",42
"179","6838",44
"180","7111",45
"181","7379",47
"182","7650",49
"183","7921",57
"184","8186",58
"185","8187",54
"186","8188",54
"187","8458",60
"188","8459",51
"189","8460",49
"190","8461",57
"191","8742",39
"192","8743",59
"193","8744",47
"194","9024",39
"195","9025",63
"196","9305",64
"197","9306",62
"198","9596",47
"199","9597",60
"200","9877",51
"201","9878",65
"202","9879",39
"203","10170",70
"204","10171",61
"205","10449",44
"206","9984",92
"207","9985",110
"208","9987",108
"209","10262",101
"210","10265",91
"211","10267",87
"212","10268",88
"213","10269",88
"214","10270",89
"215","10271",24
"216","10272",91
"217","10273",89
"218","10274",106
"219","10275",84
"220","10543",104
"221","10544",95
"222","10545",92
"223","10546",90
"224","10547",88
"225","10548",87
"226","10549",83
"227","10550",86
"228","10551",80
"229","10832",87
"230","10833",92
"231","10834",86
"232","10835",86
"233","10836",83
"234","10837",82
"235","10838",81
"236","10839",82
"237","10840",82
"238","10841",81
"239","11119",80
"240","11120",83
"241","11121",81
"242","11122",86
"243","11123",84
"244","11124",84
"245","11125",78
"246","11126",34
"247","11127",82
"248","11128",80
"249","11129",82
"250","11130",80
"251","11131",63
"252","11132",80
"253","11133",78
"254","11134",81
"255","11135",82
"256","11136",80
"257","11430",82
"258","11431",82
"259","11432",85
"260","11433",83
"261","11434",84
"262","11435",83
"263","11436",84
"264","11718",86
"265","11719",87
"266","11720",84
"267","11721",86
"268","11722",83
