"","NEW_FID","RLI_1970","RLI_1980","RLI_2005","RLI_2020"
"1","5136",NA,NA,NA,NA
"2","5454",NA,NA,NA,NA
"3","5455",NA,NA,NA,NA
"4","5456",NA,NA,NA,NA
"5","5458",NA,NA,NA,NA
"6","5459",NA,NA,NA,NA
"7","5460",NA,NA,NA,NA
"8","5461",NA,NA,NA,NA
"9","5769",NA,NA,NA,NA
"10","5770",NA,NA,NA,NA
"11","5772",NA,NA,NA,NA
"12","5773",NA,NA,NA,NA
"13","6064",NA,NA,NA,NA
"14","6065",NA,NA,NA,NA
"15","6066",NA,NA,NA,NA
"16","6343",NA,NA,NA,NA
"17","6344",NA,NA,NA,NA
"18","6345",NA,NA,NA,NA
"19","6348",NA,NA,NA,NA
"20","6617",NA,NA,NA,NA
"21","6890",NA,NA,NA,NA
"22","7161",NA,NA,NA,NA
"23","7162",NA,NA,NA,NA
"24","7426",NA,NA,NA,NA
"25","7427",NA,NA,NA,NA
"26","8231",NA,NA,NA,NA
"27","8502",NA,NA,NA,NA
"28","6618",NA,NA,NA,NA
"29","6892",NA,NA,NA,NA
"30","6893",NA,NA,NA,NA
"31","6901",NA,NA,NA,NA
"32","6902",NA,NA,NA,NA
"33","6903",NA,NA,NA,NA
"34","7163",NA,NA,NA,NA
"35","7164",NA,NA,NA,NA
"36","7170",NA,NA,NA,NA
"37","7171",NA,NA,NA,NA
"38","7172",NA,NA,NA,NA
"39","7173",NA,NA,NA,NA
"40","7174",NA,NA,NA,NA
"41","7429",NA,NA,NA,NA
"42","7435",NA,NA,NA,NA
"43","7436",NA,NA,NA,NA
"44","7695",NA,NA,NA,NA
"45","7697",NA,NA,NA,NA
"46","7698",NA,NA,NA,NA
"47","7703",NA,NA,NA,NA
"48","7704",NA,NA,NA,NA
"49","7705",NA,NA,NA,NA
"50","7965",NA,NA,NA,NA
"51","7966",NA,NA,NA,NA
"52","7972",NA,NA,NA,NA
"53","7973",NA,NA,NA,NA
"54","7974",NA,NA,NA,NA
"55","8232",NA,NA,NA,NA
"56","8233",NA,NA,NA,NA
"57","8234",NA,NA,NA,NA
"58","8237",NA,NA,NA,NA
"59","8238",NA,NA,NA,NA
"60","8239",NA,NA,NA,NA
"61","8503",NA,NA,NA,NA
"62","8504",NA,NA,NA,NA
"63","8505",NA,NA,NA,NA
"64","8506",NA,NA,NA,NA
"65","8508",NA,NA,NA,NA
"66","8509",NA,NA,NA,NA
"67","8510",NA,NA,NA,NA
"68","8514",NA,NA,NA,NA
"69","8515",NA,NA,NA,NA
"70","8516",NA,NA,NA,NA
"71","8788",NA,NA,NA,NA
"72","8793",NA,NA,NA,NA
"73","8794",NA,NA,NA,NA
"74","8795",NA,NA,NA,NA
"75","8796",NA,NA,NA,NA
"76","8797",NA,NA,NA,NA
"77","8799",NA,NA,NA,NA
"78","8800",NA,NA,NA,NA
"79","9068",NA,NA,NA,NA
"80","9073",NA,NA,NA,NA
"81","9074",NA,NA,NA,NA
"82","9075",NA,NA,NA,NA
"83","9076",NA,NA,NA,NA
"84","9077",NA,NA,NA,NA
"85","9351",NA,NA,NA,NA
"86","9357",NA,NA,NA,NA
"87","9358",NA,NA,NA,NA
"88","9638",NA,NA,NA,NA
"89","9639",NA,NA,NA,NA
"90","9925",NA,NA,NA,NA
"91","10210",NA,NA,NA,NA
"92","10211",NA,NA,NA,NA
"93","10490",NA,NA,NA,NA
"94","10491",NA,NA,NA,NA
"95","5138",NA,NA,NA,NA
"96","6894",NA,NA,NA,NA
"97","14564",NA,NA,NA,NA
"98","14830",NA,NA,NA,NA
"99","14831",NA,NA,NA,NA
"100","14832",NA,NA,NA,NA
"101","14833",NA,NA,NA,NA
"102","15104",NA,NA,NA,NA
"103","15105",NA,NA,NA,NA
"104","15106",NA,NA,NA,NA
"105","15107",NA,NA,NA,NA
"106","15375",NA,NA,NA,NA
"107","15377",NA,NA,NA,NA
"108","15378",NA,NA,NA,NA
"109","15653",NA,NA,NA,NA
"110","15654",NA,NA,NA,NA
"111","15655",NA,NA,NA,NA
"112","15656",NA,NA,NA,NA
"113","15657",NA,NA,NA,NA
"114","15921",NA,NA,NA,NA
"115","15922",NA,NA,NA,NA
"116","15923",NA,NA,NA,NA
"117","15924",NA,NA,NA,NA
"118","15925",NA,NA,NA,NA
"119","16189",NA,NA,NA,NA
"120","16190",NA,NA,NA,NA
"121","16191",NA,NA,NA,NA
"122","16447",NA,NA,NA,NA
"123","16448",NA,NA,NA,NA
"124","15926",NA,NA,NA,NA
"125","15928",NA,NA,NA,NA
"126","15929",NA,NA,NA,NA
"127","15930",NA,NA,NA,NA
"128","16193",NA,NA,NA,NA
"129","16194",NA,NA,NA,NA
"130","16195",NA,NA,NA,NA
"131","16196",NA,NA,NA,NA
"132","16197",NA,NA,NA,NA
"133","16198",NA,NA,NA,NA
"134","16199",NA,NA,NA,NA
"135","16200",NA,NA,NA,NA
"136","16201",NA,NA,NA,NA
"137","16451",NA,NA,NA,NA
"138","16452",NA,NA,NA,NA
"139","16453",NA,NA,NA,NA
"140","16454",NA,NA,NA,NA
"141","12569",NA,NA,NA,NA
"142","12570",NA,NA,NA,NA
"143","12571",NA,NA,NA,NA
"144","12852",NA,NA,NA,NA
"145","12853",NA,NA,NA,NA
"146","12854",NA,NA,NA,NA
"147","12855",NA,NA,NA,NA
"148","12856",NA,NA,NA,NA
"149","13132",NA,NA,NA,NA
"150","13133",NA,NA,NA,NA
"151","13134",NA,NA,NA,NA
"152","13135",NA,NA,NA,NA
"153","13136",NA,NA,NA,NA
"154","13137",NA,NA,NA,NA
"155","13423",NA,NA,NA,NA
"156","13424",NA,NA,NA,NA
"157","13426",NA,NA,NA,NA
"158","13427",NA,NA,NA,NA
